,follower_count,friend_count,geo,location,name,place,retweet_count,screen_name,source,status_id,status_text,time_zone,tmstamp
410,147,50,,Japan,hassiwebCryptocoin,,0,hassiwebBitcoin,"<a href=""http://hassiweb.blogsite.jp"" rel=""nofollow"">ToolsForCryptocurrency</a>",943201828833054720,"Profitable coins to transfer b/w exchanges
取引所間送金に有益なコイン情報

Bittrex-&gt;Cryptopia: $XVG
Cryptopia-&gt;Bittrex: $XMY
Crypt… https://t.co/9jvMhxKgat",,Tue Dec 19 19:30:14 +0000 2017
411,431,2082,,,Whatsbitcoinprice,,3,CryptoEvo,"<a href=""https://whatsbitcoinprice.com/"" rel=""nofollow"">Crypto news report</a>",943201821471817728,"RT @Cryptomus: #Ethereum Classic: New price prediction by JohnCafe. $ETC 

Join our Telegram group : https://t.co/ijoWlh0XR4 

https://t.co…",Eastern Time (US & Canada),Tue Dec 19 19:30:12 +0000 2017
412,26,121,,,Stuart Chan,,155,c3nturi0n2013,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201811673968640,"RT @MorackChad: $xvg. McAfee is rarely wrong in his assessments.   He's predicting end-of-2018 price of $15.00.  Right now,  it's $0.03.  A…",,Tue Dec 19 19:30:10 +0000 2017
413,677,458,,United Kingdom,Kristian,,3,777Kristian,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",943201807517585409,RT @777Kristian: @GilgameshGod666 @StaceyH201 Check out $XVG Verge. They are developing a real anonymous coin which is totally untraceable.…,Edinburgh,Tue Dec 19 19:30:09 +0000 2017
414,609,191,,,まる＠仮想通貨,,0,markV_irtual,"<a href=""http://test.com"" rel=""nofollow"">bitcoinPHP</a>",943201781533646849,"まるオススメ草コインの現在価格は
$TRX :4.884円
$ADA :64.41円
$XVG :9.175円
$CND :9.366円
$LEND :8.686円
$ICX :254.6円
$VEN :173.3円
$WABI… https://t.co/oxmyqxeJUt",,Tue Dec 19 19:30:03 +0000 2017
415,26,121,,,Stuart Chan,,115,c3nturi0n2013,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201774768242688,"RT @VergeLife: This is incredible. Value increasing. New partnerships. New exchanges. 

#Wraith isn't even it yet and $XVG is above 2 cents…",,Tue Dec 19 19:30:01 +0000 2017
416,14,28,,"Frisco, TX",cryptolife,,18,cryptolife83,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",943201750080770048,"RT @CryptoNoob4: @justinvendetta $1B market cap, not to shabby. Congrats and appreciate all your hard work! $xvg $verge @XVGWhale https://t…",Pacific Time (US & Canada),Tue Dec 19 19:29:55 +0000 2017
417,1249,4254,,,mortare,,13,xxmortarexx,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201745055993856,"RT @WebdeveIoper: You want to afford your wife, kids or other family members nice Christmas presents?

Buy $strat right now.

It's time.

🌖…",Athens,Tue Dec 19 19:29:54 +0000 2017
418,19,113,,"Philadelphia, PA",CryptoFocus,,5,jFocus_Zoe,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201740089946112,"RT @simonrutledge88: Interesting graphic to clearly explain the #advantages / #disadvantages of a few of the more well known #cryptos 
I be…",,Tue Dec 19 19:29:53 +0000 2017
419,138,36,,,CryptoSub,,13,CryptoSubs,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201696263663617,RT @VergeLife: Really proud of you part of The #VergeFam today in the midst of great criticism and doubt and naysayers we held on and we ar…,,Tue Dec 19 19:29:42 +0000 2017
420,1156,121,,,Cryptomus,,3,Cryptomus,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",943201684091756545,"#Ethereum Classic: New price prediction by JohnCafe. $ETC 

Join our Telegram group : https://t.co/ijoWlh0XR4… https://t.co/rYKTluOBYv",Pacific Time (US & Canada),Tue Dec 19 19:29:39 +0000 2017
