,follower_count,name,retweet_count,status_text,tmstamp
114,104,Tyler Brink,0,Looks like I bought #xrp just in time 😍🚀,Thu Dec 21 03:35:07 +0000 2017
115,6350,COINLORD,0,If $XRP is at $1.00 before the Coinbase announcement.... what's it going to go to after? o.o,Thu Dec 21 03:35:06 +0000 2017
116,108,.,0,Just trying to figure  out my new Binance wallet made 10 bucks trading XRP,Thu Dec 21 03:35:05 +0000 2017
117,2908,Ripple Market,4,1 Ripple = 0.9648 USD. Ripple has increased by 0.0358 USD in 30 mins. Live price: https://t.co/OCxPdK7qqL #ripple #xrp #cryptocurrency,Thu Dec 21 03:35:04 +0000 2017
118,96,WolfOfLogan[XRP][LTC],0,Aaaannnnndddd I'm back!! We only at .97 haha damn... guess i shoulda been gone a little longer so it could be $1 $xrp 😂😂,Thu Dec 21 03:35:03 +0000 2017
119,3501,Fed Up With Libs,166,"RT @Top500Crypto: I'm back! #myfirstTweet #blockchain #cryptocurrency #Bitcoin
One lucky RTer gets 10 BTC at 50,000 retweets or 1/1/18. Whi…",Thu Dec 21 03:35:03 +0000 2017
120,1018,Shubham Dev,0,#Ripple (XRP) A Rock of Stability – Ready to Move? | Oracle Times https://t.co/0nPbucIJCu,Thu Dec 21 03:35:03 +0000 2017
121,2020,💵Frank777💵,7,"RT @warrior16win: @CarsPerforming $XRP $XVG #Cryptocurency on fire 🔥🔜🚀🏧💵💵💵💵 #bullrun 
#XVG #XRP #gamechanger https://t.co/yi0jXJdtOh",Thu Dec 21 03:35:01 +0000 2017
122,2830,CryptoPanic,1,⬇ -3 Early Bitcoin Investor Says Bitcoin Could Drop 50% Before Going Higher https://t.co/qKcFQyP683 $BTC #bitcoin $XRP #ripple #XBT,Thu Dec 21 03:35:01 +0000 2017
123,719,$b0t,0,$XRP 💪💪💪💪,Thu Dec 21 03:35:01 +0000 2017
124,157,マイスター,0,リップル100円突破おめでとうありがとう！ #XRP,Thu Dec 21 03:35:00 +0000 2017
125,88,Cryptominded,2,RT @kiwimalayale: @Mktg4theFuture @officialmcafee If you hold 99% of XRP then you know that's preminned and owned by banks... but true dece…,Thu Dec 21 03:34:59 +0000 2017
126,3,Kieran Stanley,1536,"RT @Lochm1807: If #XRP  (#Ripple) hits $1 on tonight
I will send 10 $xrp to EVERYONE that RETWEETS and LIKES this

- @chrislarsensf -",Thu Dec 21 03:34:56 +0000 2017
127,282,Charlie Traplin,0,#xrp gonna hit a dollar. HERE WE GO BOYS.,Thu Dec 21 03:34:56 +0000 2017
128,1349,岐阜県投資家CLUB★委員長,0,XRP100円突破！ まだ仮想通貨は 始まってないのに この勢いは凄い❗️始まったら どうなるんだ？500円いっちゃう？ https://t.co/c5tADSc0Ja,Thu Dec 21 03:34:56 +0000 2017
129,761,CryptoCody🍁,13,RT @Hodor7777: This is the next level of awesome.  Happy Holidays to #XRP and @Ripple !  💙💙💙 https://t.co/d6Qid5xbkD,Thu Dec 21 03:34:55 +0000 2017
130,87,Martin.D💹,0,$xrp just blown the roof off $ 1.00 coming soon ?,Thu Dec 21 03:34:54 +0000 2017
